_id,parcel_id,address,zip_code,property_type,create_date,latest_inspection_result,latest_inspection_score,record_number,inspection_status,latitude,longitude,neighborhood,council_district,ward
624964,0042P00192000000,"3117 CHARTIERS AVE, Pittsburgh, 15204",15204,Condemned/Dead End Property,2020-08-27,Fail,2,0042P00192000000,Active,40.4533624628,-80.0616325309,Sheraden,2,20
624965,0116J00086000000,"326 DUNLAP ST, Pittsburgh, 15214",15214,Condemned/Dead End Property,2025-05-23,Pass,0,0116J00086000000,Active,40.4865121336,-80.0122160125,Perry North,1,26
624966,0075M00263000000,"1401 WOODS RUN AVE, Pittsburgh, 15212",15212,Condemned/Dead End Property,2020-10-05,Fail,2,0075M00263000000,Active,40.475871134,-80.0337135798,Marshall-Shadeland,6,27
624967,0075M00263000000,"1401 WOODS RUN AVE, Pittsburgh, 15212",15212,Condemned/Dead End Property,2026-09-10,Pass,0,0075M00263000000,Active,40.475871134,-80.0337135798,Marshall-Shadeland,6,27
624968,0046P00213000000,"1941 FEDERAL STREET EXT, Pittsburgh, 15214",15214,Condemned/Dead End Property,2025-10-20,Fail,1,0046P00213000000,Active,40.463219362,-80.0097142395,Perry South,6,25
624969,0174M00209000000,No primary address specified,15221,Condemned/Dead End Property,2022-08-29,Pass,0,0174M00209000000,Active,40.4574733044,-79.8854961066,Homewood North,9,13
624970,0024B00231000000,"1112 HIGH ST, Pittsburgh, 15212",15212,Condemned/Dead End Property,2020-09-01,Fail,1,0024B00231000000,Active,40.4606746914,-79.9932132585,Spring Garden,1,24
624971,0135H00132000000,"618 CALERA ST, Pittsburgh, 15207",15207,Condemned/Dead End Property,2024-08-23,Fail,1,0135H00132000000,Active,40.3821442417,-79.9335226494,Hays,5,31
624972,0135H00132000000,"618 CALERA ST, Pittsburgh, 15207",15207,Condemned/Dead End Property,2025-02-28,Pass,0,0135H00132000000,Active,40.3821442417,-79.9335226494,Hays,5,31
624973,0046S00156000000,"626 TOBOGGAN ST, Pittsburgh, 15212",15212,Condemned/Dead End Property,2020-09-09,Fail,3,0046S00156000000,Active,40.464743821,-80.0021561008,Fineview,1,25
624974,0124S00114000000,No primary address specified,15206,Condemned/Dead End Property,2020-10-13,Pass,0,0124S00114000000,Active,40.4638917389,-79.9035810702,Lincoln-Lemington-Belmar,9,12
624975,0014P00172000000,No primary address specified,15210,Condemned/Dead End Property,2020-11-16,Pass,0,0014P00172000000,Active,40.4148687897,-79.9920406806,Knoxville,3,30
624976,0024G00073000000,No primary address specified,15212,Condemned/Dead End Property,2022-12-12,Pass,0,0024G00073000000,Active,40.4593685193,-79.9903742098,Spring Garden,1,24
624977,0015H00263000000,"232 INDUSTRY ST, Pittsburgh, PA 15210",15210,Condemned/Dead End Property,2022-03-21,Fail,3,0015H00263000000,Active,40.4202262591,-80.0033984092,Beltzhoover,3,18
624978,0015H00263000000,"232 INDUSTRY ST, Pittsburgh, PA 15210",15210,Condemned/Dead End Property,2025-12-10,Pass,0,0015H00263000000,Active,40.4202262591,-80.0033984092,Beltzhoover,3,18
624979,0231P00260000000,"660 WILKINSBURG AVE, Pittsburgh, 15221",15221,Condemned/Dead End Property,2020-07-06,Fail,2,0231P00260000000,Active,40.4546335393,-79.8755818571,East Hills,9,13
624980,0040M00148000000,"1300 HARTWELL ST #2, Pittsburgh, PA 15205",15205,Condemned/Dead End Property,2024-09-04,Pass,0,0040M00148000000,Active,40.4370680173,-80.0509252904,Westwood,2,28
624981,0040M00148000000,"1300 HARTWELL ST #2, Pittsburgh, PA 15205",15205,Condemned/Dead End Property,2026-07-29,,,0040M00148000000,Active,40.4370680173,-80.0509252904,Westwood,2,28
624982,0010M00029000000,"2535 ELBA ST, Pittsburgh, 15219",15219,Condemned/Dead End Property,2026-09-10,Fail,2,0010M00029000000,Active,40.4468080904,-79.9698022122,Middle Hill,6,5
624983,0010M00029000000,"2535 ELBA ST, Pittsburgh, 15219",15219,Condemned/Dead End Property,2026-09-16,Pass,0,0010M00029000000,Active,40.4468080904,-79.9698022122,Middle Hill,6,5
624984,0015H00169000000,"425 CLIMAX ST, Pittsburgh, PA 15210",15210,Condemned/Dead End Property,2020-07-29,Fail,2,0015H00169000000,Active,40.4201887078,-79.9994266454,Beltzhoover,3,18
624985,0052D00082000000,"815 S AIKEN AVE, Pittsburgh, PA 15232",15232,Condemned/Dead End Property,2026-07-20,Fail,3,0052D00082000000,Active,40.4505096673,-79.9351518155,Shadyside,8,7
624986,0124N00342000000,"158 STOEBNER Way, Pittsburgh, PA 15206",15206,Condemned/Dead End Property,2025-03-10,Fail,2,0124N00342000000,Active,40.4641814324,-79.9122803844,Larimer,9,12
624987,0023A00095000000,"16 NORMAN ST, Pittsburgh, 15214",15214,Condemned/Dead End Property,2020-09-08,Fail,1,0023A00095000000,Active,40.4620663716,-80.014440111,Perry South,6,25
624988,0023A00095000000,"16 NORMAN ST, Pittsburgh, 15214",15214,Condemned/Dead End Property,2025-02-28,Pass,0,0023A00095000000,Active,40.4620663716,-80.014440111,Perry South,6,25
624989,0025R00052000000,"253 BRERETON ST, Pittsburgh, PA 15219",15219,Condemned/Dead End Property,2024-10-15,Fail,1,0025R00052000000,Active,40.4541147576,-79.9742349891,Strip District,7,6
624990,0174L00376000000,No primary address specified,15208,Condemned/Dead End Property,2025-08-05,Pass,0,0174L00376000000,Active,40.4575560761,-79.8891568274,Homewood North,9,13
624991,0042L00041000000,"3013 ZEPHYR AVE, Pittsburgh, 15204",15204,Condemned/Dead End Property,2024-01-16,Fail,1,0042L00041000000,Active,40.4565555413,-80.0539947119,Sheraden,2,20
624992,0022F00146000A00,"1311 ADAMS ST, Pittsburgh, 15233",15233,Condemned/Dead End Property,2026-01-09,Fail,3,0022F00146000A00,Active,40.4586356543,-80.0266366295,Manchester,6,21
624993,0033P00246000000,"16 CEDRICTON ST #2, Pittsburgh, PA 15210",15210,Condemned/Dead End Property,2025-03-20,Fail,2,0033P00246000000,Active,40.4052267009,-79.9916997806,Carrick,4,29
624994,0026P00173000000,No primary address specified,15219,Condemned/Dead End Property,2020-11-04,Pass,0,0026P00173000000,Active,40.4535845065,-79.9593687269,Upper Hill,6,5
624995,0020L00190000000,"1038 MARENA ST, Pittsburgh, 15220",15220,Condemned/Dead End Property,2026-04-22,Fail,1,0020L00190000000,Active,40.4469400321,-80.0383417242,Elliott,2,20
